"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"80",133767,"C1611F451",1.61,1.617319877,"measured",0,5,"fsl",NA,-92.57,33.76,"F","AR"
"81",134177,"C1611P051",2.93,1.617319877,"measured",0,5,"fsl",NA,-92.79,35.41,"P","AR"
"82",135256,"C1612F181",11.79,1.617319877,"measured",0,3,"",NA,-93.65,34.57,"F","AR"
"83",18508,"A0220R974",47.6,1.617319877,"measured",0,2,"",NA,-120.31,39.49,"R","CA"
"84",18515,"A0220R981",34.63,1.617319877,"measured",0,22,"",1904,-120.13,39.03,"R","CA"
"85",18520,"A0220R982",37.89,1.617319877,"measured",0,5,"",1904,-120.13,39.03,"R","CA"
"86",18524,"A0220R983",26.08,1.617319877,"measured",0,5,"",1904,-120.13,39.03,"R","CA"
"87",18529,"A0220R984",38.95,1.617319877,"measured",0,10,"",1904,-120.13,39.03,"R","CA"
"88",18533,"A0220R985",48.48,1.617319877,"measured",0,10,"",1904,-120.13,39.03,"R","CA"
"89",9910,"C0202F021",41.09,1.617319877,"measured",0,2,"",288,-122.56,41.3,"F","CA"
"90",9915,"C0202F022",26.14,1.617319877,"measured",0,2,"",288,-122.56,41.3,"F","CA"
"91",9921,"C0202F023",39.05,1.617319877,"measured",0,4,"",288,-122.56,41.3,"F","CA"
"92",9932,"C0202F025",46.84,1.617319877,"measured",0,6,"",288,-122.56,41.3,"F","CA"
"93",9979,"C0202F051",28.42,1.617319877,"measured",0,6,"",1764,-122.59,41.21,"F","CA"
"94",9985,"C0202F052",25.35,1.617319877,"measured",0,4,"",1764,-122.59,41.21,"F","CA"
"95",9989,"C0202F053",25.73,1.617319877,"measured",0,4,"",1764,-122.59,41.21,"F","CA"
"96",9998,"C0202F055",18.51,1.617319877,"measured",0,7,"",1764,-122.59,41.21,"F","CA"
"97",10003,"C0202F061",48.09,1.617319877,"measured",0,15,"",NA,-120.6,39.54,"F","CA"
"98",10008,"C0202F062",49.89,1.617319877,"measured",0,3,"",NA,-120.6,39.54,"F","CA"
"99",10012,"C0202F063",51.31,1.617319877,"measured",0,7,"",NA,-120.6,39.54,"F","CA"
"100",10016,"C0202F064",46.79,1.617319877,"measured",0,4,"",NA,-120.6,39.54,"F","CA"
"101",10019,"C0202F065",52.5,1.617319877,"measured",0,6,"",NA,-120.6,39.54,"F","CA"
