"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"127",121584,"C1505F043",4.055061984,2.520975265,"modeled",0,10,"",58,-86.9,32.93,"F","AL"
"128",121588,"C1505F044",6.149892511,3.823302076,"modeled",0,8,"",58,-86.9,32.93,"F","AL"
"129",121591,"C1505F045",8.713213364,5.416882763,"modeled",0,5,"",58,-86.9,32.93,"F","AL"
"130",121625,"C1505F071",6.432384325,3.998923281,"modeled",0,11,"fsl",NA,-87.8,32.94,"F","AL"
"131",121628,"C1505F072",1.169004394,0.726753666,"modeled",0,10,"fsl",NA,-87.8,32.94,"F","AL"
"132",121631,"C1505F073",2.402876976,1.493834976,"modeled",0,10,"fsl",NA,-87.8,32.94,"F","AL"
"133",121634,"C1505F074",1.844786203,1.146877755,"modeled",0,5,"fsl",NA,-87.8,32.94,"F","AL"
"134",121637,"C1505F075",3.558807987,2.212461102,"modeled",0,8,"fsl",NA,-87.8,32.94,"F","AL"
"135",121640,"C1505F081",2.998025936,1.863830752,"modeled",0,13,"sil",72.5999984741211,-87.34,32.57,"F","AL"
"136",121645,"C1505F082",4.64448729,2.887412725,"modeled",0,11,"",72.5999984741211,-87.34,32.57,"F","AL"
"137",121648,"C1505F083",2.808200225,1.745818765,"modeled",0,13,"",72.5999984741211,-87.34,32.57,"F","AL"
"138",121651,"C1505F084",3.859432646,2.399355244,"modeled",0,10,"",72.5999984741211,-87.34,32.57,"F","AL"
"139",121654,"C1505F085",10.23825636,6.364980643,"modeled",0,22,"",72.5999984741211,-87.34,32.57,"F","AL"
"140",121671,"C1505P031",2.3,1.617319877,"measured",0,5,"sil",NA,-88,34.71,"P","AL"
"141",121674,"C1505P032",2.442813023,1.518662657,"modeled",0,5,"sil",NA,-88,34.71,"P","AL"
"142",121677,"C1505P033",2.120638974,1.318371561,"modeled",0,5,"sil",NA,-88,34.71,"P","AL"
"143",121680,"C1505P034",2.042076394,1.269530305,"modeled",0,5,"sil",NA,-88,34.71,"P","AL"
"144",121683,"C1505P035",2.277421059,1.415840788,"modeled",0,5,"sil",NA,-88,34.71,"P","AL"
"145",121710,"C1505P061",2.759512093,1.715550035,"modeled",0,13,"sil",NA,-86.23,32.16,"P","AL"
"146",121716,"C1505P062",3.745996384,2.328833508,"modeled",0,10,"",NA,-86.23,32.16,"P","AL"
"147",121719,"C1505P063",2.110575363,1.312115155,"modeled",0,13,"",NA,-86.23,32.16,"P","AL"
"148",121723,"C1505P064",2.884114223,1.793013435,"modeled",0,13,"",NA,-86.23,32.16,"P","AL"
"149",121726,"C1505P065",1.977409798,1.229327988,"modeled",0,13,"",NA,-86.23,32.16,"P","AL"
"150",121791,"C1505W021",3.621250816,2.251280935,"modeled",0,9,"l",82,-86.31,31.68,"W","AL"
"151",121795,"C1505W022",1.400194001,0.870481008,"modeled",0,48,"",82,-86.31,31.68,"W","AL"
"152",121797,"C1505W023",2.050271053,1.27462481,"modeled",0,20,"",82,-86.31,31.68,"W","AL"
"153",121799,"C1505W024",1.83348769,1.139853628,"modeled",0,13,"",82,-86.31,31.68,"W","AL"
"154",121802,"C1505W025",2.183444863,1.357417103,"modeled",0,20,"",82,-86.31,31.68,"W","AL"
"155",121852,"C1505W061",2.563163883,1.593483102,"modeled",0,5,"sl",NA,-88.23,31.91,"W","AL"
"156",121855,"C1505W062",6.268614049,3.897109594,"modeled",0,7,"fsl",NA,-88.23,31.91,"W","AL"
"157",121858,"C1505W063",1.557498651,0.968275106,"modeled",0,5,"fsl",NA,-88.23,31.91,"W","AL"
"158",121862,"C1505W064",3.542174125,2.202120063,"modeled",0,7,"fsl",NA,-88.23,31.91,"W","AL"
"159",121866,"C1505W065",2.391929173,1.48702888,"modeled",0,7,"sl",NA,-88.23,31.91,"W","AL"
"160",121889,"C1505W081",22.19132524,13.79603622,"modeled",0,8,"sil",112,-85.83,32.54,"W","AL"
"161",121894,"C1505W082",3.767521321,2.34221526,"modeled",0,30,"",112,-85.83,32.54,"W","AL"
"162",121896,"C1505W083",4.484056365,2.787675065,"modeled",0,9,"",112,-85.83,32.54,"W","AL"
"163",121899,"C1505W084",7.789938408,4.842895649,"modeled",0,9,"",112,-85.83,32.54,"W","AL"
"164",121902,"C1505W085",2.818868112,1.752450841,"modeled",0,15,"",112,-85.83,32.54,"W","AL"
"165",122558,"C1507C091",3.312360847,2.059248366,"modeled",0,5,"ls",104,-85.3,31.35,"C","AL"
