"UNITID","long","lat"
105215,"-112.121336","33.684428"
105297,"-109.21684","36.293328"
105330,"-111.653724","35.188449"
105349,"-110.142199","34.93031"
105367,"-112.113001","33.572173"
105428,"-112.088293","33.481361"
105525,"-110.886659","32.222125"
105534,"-110.878783","32.248067"
105543,"-106.59488","35.104855"
105589,"-112.477185","34.5452"
105659,"-111.989357","33.448692"
105668,"-111.97417","33.413309"
105677,"-112.086161","33.45489"
105747,"-111.885186","33.51135"
105792,"-112.032635","33.382406"
105899,"-112.181776","33.622952"
106041,"-112.288123","33.453005"
106111,"-112.118168","33.538093"
106148,"-112.453395","34.547495"
106245,"-92.339778","34.723254"
106263,"-92.320046","34.749048"
106306,"-92.290555","34.734751"
106315,"-92.343366","34.672171"
106324,"-93.135369","35.27902"
106342,"-91.625354","35.777619"
106351,"-92.266429","34.753843"
106360,"-94.410967","35.379955"
106397,"-94.176981","36.070009"
106412,"-92.018683","34.244031"
106449,"-91.895351","35.074176"
106458,"-90.679988","35.842388"
106467,"-93.13562","35.293237"
106485,"-91.811153","33.590909"
106494,"-92.102579","34.891572"
106546,"-92.40692","34.713115"
106625,"-90.951033","36.239793"
106704,"-92.457672","35.077945"
106713,"-92.445021","35.083838"
106795,"-94.3673","34.043389"
106810,"-90.584395","36.064845"
106883,"-90.767726","35.041655"
106892,"-92.341891","34.75128"
106908,"-92.222202","34.789913"
106980,"-93.119248","34.512687"
106999,"-91.615852","35.792923"
107044,"-91.726143","35.247386"
107071,"-93.059703","34.128155"
107080,"-92.443256","35.101565"
107099,"-93.037277","34.496057"
107123,"-92.018045","34.187831"
107141,"-94.560283","36.189812"
107220,"-94.12947","36.167605"
107293,"-94.41616","35.38097"
107318,"-90.22285","35.145736"
107327,"-89.921005","35.898597"
107442,"-92.254171","34.760085"
107460,"-93.08844","36.219909"
107488,"-94.115346","36.178032"
107512,"-93.052471","34.126093"
107521,"-92.821416","34.378745"
107549,"-91.896355","36.053031"
107558,"-93.467221","35.476278"
107585,"-92.728507","35.172136"
107600,"-92.283015","34.737131"
107619,"-90.616884","34.546155"
107637,"-92.025936","34.210309"
107655,"-92.664101","33.216032"
107664,"-92.299184","34.782783"
107725,"-93.596762","33.641665"
107743,"-94.219799","34.591449"
107789,"-94.153892","36.126373"
107831,"-91.735135","35.239148"
107840,"-92.261331","34.75933"
107877,"-90.940277","36.125676"
107974,"-92.666087","33.209446"
107983,"-93.235922","33.291618"
107992,"-92.721629","33.628367"
108065,"-92.289597","34.735685"
108092,"-94.373729","35.384184"
108232,"-122.400578","37.787943"
108269,"-122.269839","37.805972"
108667,"-122.279303","37.781017"
108807,"-120.421144","34.943716"
108852,"-118.343701","34.095378"
108861,"-122.256149","37.865252"
108870,"-118.310018","34.10767"
108977,"-117.936959","34.069367"
109040,"-118.292481","34.079323"
109086,"-122.410265","37.786923"
109208,"-121.349672","38.65085"
109350,"-118.186166","34.676207"
109651,"-118.185102","34.169031"
109721,"-118.272364","34.056102"
109730,"-117.135196","32.773178"
109785,"-117.888375","34.130047"
109819,"-118.973753","35.40911"
109907,"-117.023412","34.870285"
109934,"-117.083738","32.614773"
110060,"-117.941323","33.842295"
110097,"-118.014374","33.906203"
110194,"-117.905774","33.819032"
110219,"-111.944197","33.437779"
110246,"-121.644831","39.649782"
110316,"-122.416102","37.774924"
110334,"-121.924797","36.989448"
110361,"-117.425619","33.929321"
110370,"-122.399451","37.767485"
110398,"-122.4157","37.781137"
110404,"-118.125878","34.137349"
110413,"-118.878924","34.224566"
110422,"-120.657311","35.299513"
110468,"-117.094398","32.897056"
110486,"-119.104711","35.350005"
110495,"-120.852511","37.52577"
110510,"-117.323801","34.182622"
110529,"-117.821476","34.057912"
110538,"-121.844859","39.729712"
110547,"-118.255917","33.864766"
110556,"-119.744569","36.811154"
110565,"-117.885446","33.881506"
110574,"-122.054135","37.657694"
110583,"-118.11204","33.782818"
110592,"-118.168965","34.066927"
110608,"-118.529319","34.240126"
110617,"-121.423549","38.559415"
110635,"-122.260463","37.871918"
110644,"-121.749567","38.539667"
110653,"-117.841248","33.648434"
110662,"-118.442179","34.07178"
110671,"-117.32741","33.97246"
110680,"-117.235866","32.877749"
110699,"-122.458489","37.763737"
110705,"-119.846426","34.416297"
110714,"-122.058801","36.995584"
110778,"-122.10866","37.430325"
110875,"-120.99689","37.645217"
110918,"-119.711123","36.749366"
111045,"-117.939412","33.777392"
111054,"-117.024261","32.765221"
111081,"-118.566837","34.39327"
111188,"-122.231551","38.069061"
111391,"-117.162416","32.722192"
111434,"-122.265398","37.44877"
111461,"-118.568698","34.403993"
